beam,1,hand,wood,wood,,
handle,1,hand,beam,beam,,
frame,1,hand,beam,beam,beam,
workbench,1,hand,beam,beam,beam,beam
stone_furnace,1,hand,frame,stone,stone,stone
stone_pick,1,hand,beam,stone,stone,
stone_pickaxe,1,hand,handle,stone_pick,,
stone_wedge,1,hand,sand,stone,stone,
stone_axe,1,hand,handle,stone_wedge,,
thread,1,hand,wool,wool,,
felt,1,hand,water,wool,,
stone_hammer,1,hand,handle,stone,thread,
crate,1,workbench,frame,frame,,
boat,1,workbench,crate,crate,,
barrel,1,workbench,crate,steel_pipe,steel_pipe,
loom,1,workbench,beam,beam,beam,copper_wire
glass,1,stone_furnace,sand,sand,wood,
bottle,1,stone_furnace,glass,glass,wood,
hourglass,1,stone_furnace,bottle,bottle,sand,wood
dust,1,stone_hammer,stone,stone,,
pulp,1,stone_hammer,water,wood,,
paper,1,stone_furnace,pulp,pulp,wood,
book,1,loom,paper,paper,thread,
mortar,1,hand,dust,sand,water,
brick,1,stone_furnace,clay,clay,wood,
wall,1,hand,brick,brick,mortar,mortar
brick_furnace,1,hand,brick,brick,brick,copper_pipe
window,1,workbench,frame,glass,glass,
hat,1,loom,felt,felt,thread,wool
fabric,1,loom,thread,thread,thread,
sheet,1,loom,fabric,fabric,thread,
canvas,1,loom,sheet,sheet,thread,
shirt,1,loom,fabric,sheet,thread,wool
store,1,hand,canvas,wall,window,
copper_bar,1,stone_furnace,copper_ore,copper_ore,wood,
copper_wire,1,stone_hammer,copper_bar,copper_bar,,
copper_plate,1,stone_hammer,copper_bar,copper_bar,copper_bar,
copper_pick,1,stone_hammer,beam,copper_bar,copper_bar,
copper_wedge,1,stone_hammer,copper_bar,copper_bar,sand,
copper_pickaxe,1,hand,copper_pick,handle,,
copper_axe,1,hand,copper_wedge,handle,,
copper_pipe,1,stone_hammer,copper_wire,copper_wire,,
kettle,1,stone_hammer,copper_plate,frame,,
kite,1,loom,sheet,steel_wire,steel_wire,thread
steel_wedge,1,steel_hammer,sand,steel_bar,steel_bar,
steel_axe,1,hand,handle,steel_wedge,,
steel_bar,1,brick_furnace,coal,coal,iron_ore,iron_ore
steel_hammer,1,hand,handle,steel_bar,thread,
steel_wire,1,steel_hammer,steel_bar,steel_bar,,
steel_pick,1,steel_hammer,beam,steel_bar,steel_bar,
steel_plate,1,steel_hammer,steel_bar,steel_bar,steel_bar,
steel_pipe,1,steel_hammer,steel_wire,steel_wire,,
steel_pickaxe,1,hand,handle,steel_pick,,
sail,1,loom,canvas,steel_wire,steel_wire,thread
gear,1,steel_hammer,steel_wire,steel_wire,steel_wire,
wheel,1,steel_hammer,frame,steel_pipe,steel_pipe,
steam_engine,1,hand,copper_pipe,gear,steel_plate,steel_plate
lens,1,hand,glass,sand,,
gold_bar,1,brick_furnace,coal,gold_ore,gold_ore,
gold_wire,1,steel_hammer,gold_bar,gold_bar,,
gold_plate,1,steel_hammer,gold_bar,gold_bar,gold_bar,
watch,1,hand,gear,gear,glass,gold_plate
monocle,1,hand,gold_wire,lens,thread,
suit,1,hand,hat,monocle,shirt,watch
brass_bar,1,brick_furnace,coal,copper_ore,copper_ore,zinc_ore
brass_wire,1,steel_hammer,brass_bar,brass_bar,,
brass_plate,1,steel_hammer,brass_bar,brass_bar,brass_bar,
horn,1,steel_hammer,brass_plate,steel_pipe,,
brass_pipe,1,steel_hammer,brass_wire,brass_wire,,
propeller,1,steel_hammer,brass_plate,wheel,,
spyglass,1,steel_hammer,brass_pipe,brass_pipe,lens,lens
airship,1,hand,boat,propeller,sail,steam_engine
